# session start 2026-06-12T14:33:14
time,lat,lon,alt_gps,sats,millis,alt_baro,temp,pressure,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,high_ax,high_ay,high_az,voltage,current,watt,source,rssi,snr
2026-06-12T14:33:14,12.607889,100.939941,6.80,12,1285972,6.75,34.60,1012.44,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.904,-108.500,-0.424,port1,,
2026-06-12T14:33:15,12.607889,100.939941,6.80,12,1286634,7.08,34.60,1012.40,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.912,-105.600,-0.413,port1,-41,12.50
2026-06-12T14:33:16,12.607889,100.939941,6.80,12,1287295,6.41,34.61,1012.48,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.904,-96.400,-0.376,port1,-38,11.25
2026-06-12T14:33:16,12.607889,100.939941,6.80,12,1287965,6.75,34.61,1012.44,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.912,-113.500,-0.444,port1,-40,11.75
2026-06-12T14:33:17,12.607889,100.939941,6.80,12,1288630,6.58,34.62,1012.46,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.908,-103.600,-0.405,port1,-39,12.00
2026-06-12T14:33:18,12.607889,100.939941,6.80,12,1289301,6.91,34.62,1012.42,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.912,-97.300,-0.381,port1,-43,12.00
2026-06-12T14:33:18,12.607889,100.939941,6.80,12,1289971,6.91,34.63,1012.42,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.904,-112.000,-0.437,port1,-44,12.00
2026-06-12T14:33:19,12.607889,100.939941,6.80,12,1290642,6.91,34.63,1012.42,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.900,-107.400,-0.419,port1,-43,11.75
2026-06-12T14:33:20,12.607889,100.939941,6.80,12,1291320,6.75,34.64,1012.44,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.908,-104.400,-0.408,port1,-42,11.75
2026-06-12T14:33:20,12.607889,100.939941,6.80,12,1291999,6.75,34.64,1012.44,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.908,-94.200,-0.368,port1,-43,12.25
2026-06-12T14:33:21,12.607889,100.939941,6.80,12,1292676,6.75,34.64,1012.44,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.904,-103.100,-0.403,port1,-42,12.00
2026-06-12T14:33:22,12.607889,100.939941,6.80,12,1293355,6.75,34.64,1012.44,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.904,-109.200,-0.426,port1,-42,12.25
2026-06-12T14:33:22,12.607889,100.939941,6.80,12,1294034,6.91,34.65,1012.42,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.916,-99.900,-0.391,port1,-42,12.25
2026-06-12T14:33:23,12.607889,100.939941,6.80,12,1294714,6.58,34.66,1012.46,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.920,-97.700,-0.383,port1,-43,11.75
2026-06-12T14:33:24,12.607889,100.939941,6.80,12,1295461,7.08,34.66,1012.40,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.916,-101.700,-0.398,port1,-42,12.00
2026-06-12T14:33:25,12.607889,100.939941,6.80,12,1296123,6.25,34.67,1012.50,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.900,-98.600,-0.385,port1,-44,10.25
2026-06-12T14:33:25,12.607889,100.939941,6.80,12,1296786,6.75,34.67,1012.44,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.908,-100.900,-0.394,port1,-46,12.00
2026-06-12T14:33:26,12.607889,100.939941,6.80,12,1297453,6.58,34.67,1012.46,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.912,-95.100,-0.372,port1,-44,12.00
2026-06-12T14:33:27,12.607889,100.939941,6.80,12,1298124,6.91,34.68,1012.42,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.916,-93.700,-0.367,port1,-44,11.50
2026-06-12T14:33:27,12.607889,100.939941,6.80,12,1298799,6.25,34.68,1012.50,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.908,-99.000,-0.387,port1,-45,12.00
2026-06-12T14:33:28,12.607889,100.939941,6.80,12,1299475,6.41,34.69,1012.48,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.904,-104.500,-0.408,port1,-45,12.00
2026-06-12T14:33:29,12.607889,100.939941,6.80,12,1300151,6.58,34.69,1012.46,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.912,-110.100,-0.431,port1,-42,12.00
2026-06-12T14:33:29,12.607889,100.939941,6.80,12,1300944,6.41,34.69,1012.48,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.912,-106.000,-0.415,port1,-42,12.25
2026-06-12T14:33:30,12.607889,100.939941,6.80,12,1301600,6.91,34.70,1012.42,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.908,-105.400,-0.412,port1,-43,11.75
2026-06-12T14:33:31,12.607889,100.939941,6.80,12,1302260,6.91,34.70,1012.42,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.912,-92.600,-0.362,port1,-42,12.25
