# session start 2026-06-12T14:33:14
time,lat,lon,alt_gps,sats,millis,alt_baro,temp,pressure,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,high_ax,high_ay,high_az,voltage,current,watt,source,rssi,snr
2026-06-12T14:49:44,12.609143,100.941299,5.30,12,2281929,291.36,38.58,978.74,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.888,-92.600,-0.360,port1,-92,11.00
2026-06-12T14:49:51,12.609145,100.941299,5.30,12,2282615,296.85,38.59,978.10,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.892,-97.400,-0.379,port1,-93,10.00
2026-06-12T14:49:53,12.608959,100.941246,5.30,12,2284675,289.65,38.59,978.94,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.888,-98.200,-0.382,port1,-94,10.25
2026-06-12T14:49:58,12.607851,100.940933,5.30,12,2289533,143.94,38.62,996.08,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.656,-87.300,-0.319,port1,-96,3.00
2026-06-12T15:02:43,12.607359,100.940552,6.70,12,23,30.06,1010.46,0.23,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.0000,0.00,0.00,3.83,-104.200,-0.399,0.042,port1,-94,10.50
2026-06-12T14:50:31,12.607224,100.940552,40.80,12,2322271,22.92,34.26,1010.50,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.820,-107.800,-0.412,port1,-101,0.00
2026-06-12T14:50:29,12.607188,100.940567,40.80,12,2320885,22.25,34.32,1010.58,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.800,-106.500,-0.405,port1,-91,9.50
2026-06-12T14:50:29,12.607117,100.940544,40.80,12,2320201,21.59,34.35,1010.66,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.796,-90.500,-0.344,port1,-96,5.00
2026-06-12T14:50:27,12.607088,100.940544,48.90,12,2318156,21.42,34.40,1010.68,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.824,-95.300,-0.364,port1,-98,7.50
2026-06-12T14:50:26,12.607088,100.940544,48.90,12,2317467,23.09,34.40,1010.48,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.788,-100.600,-0.381,port2,-104,-1.75
2026-06-12T14:50:25,12.607054,100.940559,57.70,12,2316107,30.60,34.48,1009.58,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.788,-94.800,-0.359,port1,-85,12.00
2026-06-12T14:50:23,12.607002,100.940567,57.70,12,2314758,39.79,34.61,1008.48,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.820,-97.200,-0.371,port1,-89,10.75
2026-06-12T14:50:21,12.606941,100.940536,67.20,12,2312592,44.81,34.82,1007.88,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.828,-96.900,-0.371,port1,-97,5.75
2026-06-12T14:50:20,12.606874,100.940559,76.20,12,2311901,45.31,34.92,1007.82,0.2305,-0.1289,0.0859,0.0098,0.0449,0.0020,0.6993,0.0096,-0.0036,-0.7148,0.00,0.00,0.00,3.812,-95.000,-0.362,port1,-90,10.25
