idx,time_ms,temp_C,pres_Pa,alt_m,ax_g,ay_g,az_g,lat,lon,gps_alt_m,spd_kn,fix,sats
47,213283,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608765,100.941322,-0.80,0.03,1,12
48,223317,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608765,100.941322,-0.80,0.03,1,12
49,233351,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608765,100.941322,-0.80,0.03,1,12
50,243385,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608772,100.941330,-0.90,0.06,1,12
51,253419,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608772,100.941330,-0.90,0.06,1,12
52,263453,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608772,100.941330,-0.90,0.06,1,12
53,273487,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608777,100.941330,10.00,0.06,1,12
54,283550,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608777,100.941330,-0.20,0.06,1,12
55,293584,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608778,100.941330,-0.20,0.03,1,12
56,303618,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608778,100.941338,-0.30,0.03,1,12
57,313652,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608778,100.941338,-0.30,0.03,1,12
58,323686,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608778,100.941338,-0.30,0.03,1,12
59,333720,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608774,100.941345,10.00,0.89,1,225
60,343754,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608768,100.941338,10.00,0.03,1,225
61,353788,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608769,100.941338,10.00,0.52,1,225
62,363822,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608787,100.941330,-0.70,0.75,1,12
63,373856,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608805,100.941322,-1.70,0.58,1,12
64,383890,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608807,100.941322,-1.80,0.06,1,12
65,393924,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608803,100.941322,-1.80,0.99,1,12
66,403958,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608806,100.941322,-1.60,0.14,1,12
67,413992,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608814,100.941322,-1.60,1.05,1,12
68,424027,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608809,100.941315,-2.00,0.19,1,12
69,434061,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608809,100.941315,-1.60,0.19,1,12
70,444095,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608848,100.941322,-1.00,1.85,1,12
71,454129,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.608960,100.941307,-0.30,2.27,1,12
72,464163,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609069,100.941307,-0.20,1.83,1,12
73,474197,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609098,100.941315,1.00,0.00,1,12
74,484232,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609098,100.941315,-0.30,0.00,1,12
75,494266,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609098,100.941315,0.00,0.00,1,12
78,524368,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609091,100.941315,0.00,0.02,1,12
79,534434,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609091,100.941315,0.00,0.02,1,12
80,544468,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609090,100.941315,1.20,0.03,1,12
81,554502,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609090,100.941315,1.20,0.03,1,12
82,564536,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609090,100.941315,1.20,0.03,1,12
83,574570,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609090,100.941315,1.20,0.03,1,12
84,584604,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609086,100.941315,18.00,0.01,1,13
85,594638,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609086,100.941315,18.00,0.01,1,13
86,604672,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609086,100.941315,18.00,0.01,1,13
87,614706,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609085,100.941315,2.00,0.02,1,12
88,624740,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609085,100.941315,1.80,0.01,1,12
89,634775,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609084,100.941315,1.70,0.01,1,12
90,644810,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609084,100.941315,1.70,0.02,1,12
91,654845,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609084,100.941315,1.70,0.02,1,12
92,664879,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.609084,100.941315,1.70,0.02,1,12
93,674913,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.607797,100.940941,292.70,46.37,1,12
99,52772,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606640,100.940544,0.00,0.01,1,0
100,62806,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606641,100.940544,0.00,0.02,1,0
101,72927,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606642,100.940544,0.00,0.01,1,39
102,82961,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606648,100.940544,-1.50,0.01,1,12
103,92996,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606649,100.940544,0.20,0.01,1,12
104,103031,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606649,100.940544,1.70,0.01,1,12
105,113065,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606649,100.940544,1.70,0.01,1,12
106,123099,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606650,100.940544,2.90,0.01,1,12
107,133220,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606653,100.940536,4.30,0.01,1,12
108,143254,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606653,100.940536,4.30,0.01,1,12
109,153288,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606653,100.940536,4.30,0.01,1,12
110,163322,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606653,100.940536,4.30,0.01,1,12
111,173356,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606653,100.940536,4.30,0.01,1,12
112,183485,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606653,100.940536,4.30,0.01,1,12
113,193519,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606653,100.940536,4.30,0.01,1,12
114,203553,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606653,100.940536,4.30,0.01,1,12
115,213587,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606653,100.940536,4.30,0.01,1,12
116,223621,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606653,100.940536,4.30,0.01,1,12
117,233756,-999.00,0.00,0.00,0.0000,0.0000,0.0000,12.606663,100561.000000,4.30,43.00,1,12
